1,New York City; New York,8175133
2,Los Angeles; California,3792621
3,Chicago; Illinois,2695598
4,Houston; Texas,2099451
5,Philadelphia; Pennsylvania,1526006
6,Phoenix; Arizona,1445632
7,San Antonio; Texas,1327407
8,San Diego; California,1307402
9,Dallas; Texas,1197816
10,San Jose; California,945942
11,Austin; Texas,790390
12,Jacksonville; Florida,821784
13,Indianapolis; Indiana,820445
14,San Francisco; California,805235
15,Columbus; Ohio,787033
16,Fort Worth; Texas,741206
17,Charlotte; North Carolina,731424
18,Detroit; Michigan,713777
19,El Paso; Texas,649121
20,Memphis; Tennessee,646889
21,Boston; Massachusetts,617594
22,Seattle; Washington,608660
23,Denver; Colorado,600158
24,Washington; DC,601723
25,Nashville-Davidson; Tennessee,601222
26,Baltimore; Maryland,620961
27,Louisville/Jefferson; Kentucky,597337
28,Portland; Oregon,583776
29,Oklahoma ; Oklahoma,579999
30,Milwaukee; Wisconsin,594833
31,Las Vegas; Nevada,583756
32,Albuquerque; New Mexico,545852
33,Tucson; Arizona,520116
34,Fresno; California,494665
35,Sacramento; California,466488
36,Long Beach; California,462257
37,Kansas ; Missouri,459787
38,Mesa; Arizona,439041
39,Virginia Beach; Virginia,437994
40,Atlanta; Georgia,420003
41,Colorado Springs; Colorado,416427
42,Raleigh; North Carolina,403892
43,Omaha; Nebraska,408958
44,Miami; Florida,399457
45,Oakland; California,390724
46,Tulsa; Oklahoma,391906
47,Minneapolis; Minnesota,382578
48,Cleveland; Ohio,396815
49,Wichita; Kansas,382368
50,Arlington; Texas,365438
51,New Orleans; Louisiana,343829
52,Bakersfield; California,347483
53,Tampa; Florida,335709
54,Honolulu; Hawaii,337256
55,Anaheim; California,336265
56,Aurora; Colorado,325078
57,Santa Ana; California,324528
58,St. Louis; Missouri,319294
59,Riverside; California,303871
60,Corpus Christi; Texas,305215
61,Pittsburgh; Pennsylvania,305704
62,Lexington-Fayette; Kentucky,295803
63,"Anchorage municipality, Alaska",291826
64,Stockton; California,291707
65,Cincinnati; Ohio,296943
66,St. Paul; Minnesota,285068
67,Toledo; Ohio,287208
68,Newark; New Jersey,277140
69,Greensboro; North Carolina,269666
70,Plano; Texas,259841
71,Henderson; Nevada,257729
72,Lincoln; Nebraska,258379
73,Buffalo; New York,261310
74,Fort Wayne; Indiana,253691
75,Jersey ; New Jersey,247597
76,Chula Vista; California,243916
77,Orlando; Florida,238300
78,St. Petersburg; Florida,244769
79,Norfolk; Virginia,242803
80,Chandler; Arizona,236123
81,Laredo; Texas,236091
82,Madison; Wisconsin,233209
83,Durham; North Carolina,228330
84,Lubbock; Texas,229573
85,Winston-Salem; North Carolina,229617
86,Garland; Texas,226876
87,Glendale; Arizona,226721
88,Hialeah; Florida,224669
89,Reno; Nevada,225221
90,Baton Rouge; Louisiana,229493
91,Irvine; California,212375
92,Chesapeake; Virginia,222209
93,Irving; Texas,216290
94,Scottsdale; Arizona,217385
95,North Las Vegas; Nevada,216961
96,Fremont; California,214089
97,"Gilbert town, Arizona",208453
98,San Bernardino; California,209924
99,Boise; Idaho,205671
100,Birmingham; Alabama,212237
